number,value,datetime_start,datetime_complete,duration,params_hidden1,params_hidden2,params_lr,params_weight_decay,user_attrs_rel_Tb_%,user_attrs_rel_X_%,user_attrs_stopped_epoch,state
11,0.5748472958803177,2026-04-24 18:23:14.918039,2026-04-24 19:12:30.431425,0 days 00:49:15.513386,100,40,0.0005021342798999926,1.2238102352764629e-06,0.43120068311691284,0.14364661276340485,71,COMPLETE
10,0.5851352214813232,2026-04-24 17:52:43.927958,2026-04-24 18:23:14.917123,0 days 00:30:30.989165,100,40,0.00042946755140337527,1.1799062523159305e-06,0.4271200895309448,0.15801513195037842,44,COMPLETE
5,0.6166000068187714,2026-04-24 15:42:58.770977,2026-04-24 16:09:02.902261,0 days 00:26:04.131284,65,20,0.0003135775732257748,2.9204338471814107e-05,0.4136732518672943,0.20292675495147705,40,COMPLETE
3,0.6211082935333252,2026-04-24 15:02:57.896838,2026-04-24 15:23:53.516931,0 days 00:20:55.620093,85,30,0.00020366442026830908,5.415244119402541e-06,0.38613519072532654,0.23497310280799866,31,COMPLETE
4,0.6322231143712997,2026-04-24 15:23:53.517526,2026-04-24 15:42:58.770312,0 days 00:19:05.252786,35,55,0.0005418282319533242,1.461896279370496e-05,0.4720102548599243,0.16021285951137543,29,COMPLETE
12,0.6362579315900803,2026-04-24 19:12:30.432100,2026-04-24 20:21:03.163752,0 days 01:08:32.731652,100,45,0.0004906690811011229,1.045464234001662e-06,0.4652538299560547,0.17100410163402557,98,COMPLETE
7,0.6539744138717651,2026-04-24 16:38:31.723779,2026-04-24 17:08:13.903182,0 days 00:29:42.179403,65,10,0.001076962247826313,4.809461967501575e-06,0.4611095190048218,0.19286489486694336,46,COMPLETE
13,0.6782893091440201,2026-04-24 20:21:03.164368,2026-04-24 21:30:41.339947,0 days 01:09:38.175579,100,40,0.0008174627645906509,1.2024346279459768e-06,0.4828830361366272,0.19540627300739288,100,COMPLETE
14,0.6911594122648239,2026-04-24 21:30:41.340595,2026-04-24 21:54:22.110434,0 days 00:23:40.769839,85,65,0.00038763836350460477,3.7702059188218185e-06,0.5566275715827942,0.13453184068202972,34,COMPLETE
6,0.7261802703142166,2026-04-24 16:09:02.902912,2026-04-24 16:38:31.723148,0 days 00:29:28.820236,50,80,0.00021839352923182988,0.00011400863701127338,0.49537479877471924,0.23080547153949738,44,COMPLETE
0,1.0267676413059235,2026-04-24 14:05:14.723411,2026-04-24 14:36:50.012661,0 days 00:31:35.289250,45,100,0.0017524101118128151,0.0002481040974867811,0.7395364046096802,0.2872312366962433,46,COMPLETE
9,1.2848980724811554,2026-04-24 17:40:39.418080,2026-04-24 17:52:43.927382,0 days 00:12:04.509302,35,15,0.0014537555576161927,5.762487216478604e-05,0.9021923542022705,0.3827057182788849,19,COMPLETE
8,1.4191533923149109,2026-04-24 17:08:13.903764,2026-04-24 17:40:39.417551,0 days 00:32:25.513787,15,100,0.0043709904681305065,0.0017123375973163992,0.7719300389289856,0.6472233533859253,49,COMPLETE
1,1.6933122873306274,2026-04-24 14:36:50.013242,2026-04-24 14:48:38.165041,0 days 00:11:48.151799,20,20,0.00012551115172973836,0.0029154431891537554,0.8440434336662292,0.8492688536643982,19,COMPLETE
2,2.5693795680999756,2026-04-24 14:48:38.165624,2026-04-24 15:02:57.896262,0 days 00:14:19.730638,65,75,0.00010838581269344756,0.00757947995334801,1.199501395225525,1.3698781728744507,21,COMPLETE
